Codering maatstaf	Naam maatstaf	Sociale basisvoorzieningen	Participatie	Individuele voorzieningen Wmo	Individuele voorzieningen Jeugd	Bestuur en ondersteuning	Orde en veiligheid	Onderwijs	Sport, cultuur en recreatie	Infrastructuur, ruimte en milieu	Overig	Overige eigen middelen	Onroerendezaakbelasting	Totaal
vest	bedrijven	0	0	0	0	0	84,44	0	0	50,34	0	0	0	134,78
bo31	bewoonde oorden 1930	0	0	0	0	0	0	0	0	42,27	0	0	0	42,27
bo31hk	historische woningen in bewoonde oorden 1930	0	0	0	0	0	0	0	79,48	0	0	0	0	79,48
bo3_nw	bijstandsontvangers	0	5.128,00	0	0	0	0	0	0	0	0	0	0	5.128,00
doelgroep	doelgroepenregister gemeentelijke doelgroep	0	1.037,30	0	0	0	0	0	0	0	0	0	0	1.037,30
ephh	éénpersoonshuishoudens	0	0	166,04	0	0	0	0	0	0	0	0	0	166,04
groei_jong	extra groei jongeren	0	0	0	0	0	0	766,2	0	0	0	0	0	766,2
groei_llvo	extra groei leerlingen voortgezet onderwijs	0	0	0	0	0	0	628,55	0	0	0	0	0	628,55
kernen500	grote woonkernen	0	0	0	0	0	75.166,66	0	0	0	0	0	0	75.166,66
lidr_w_nw	huishoudens met een laag inkomen met drempel	0	352,35	523,03	2.597,80	0	128,93	176,88	0	0	0	0	0	3.779,00
inwo	inwoners	130,31	0	0	0	205,87	11,53	0	146,16	0	0	-117,89	0	375,98
inw75+dr	inwoners 75+ met drempel	0	0	1.325,43	0	0	0	0	0	0	0	0	0	1.325,43
wad1	inwoners waddengemeenten (<2500 inwoners)	0	0	0	0	0	0	0	0	0	269,09	0	0	269,09
wad3	inwoners waddengemeenten (>7500 inwoners)	0	0	0	0	0	0	0	0	0	47,34	0	0	47,34
wad2	inwoners waddengemeenten (2500 tot 7500 inwoners)	0	0	0	0	0	0	0	0	0	209,89	0	0	209,89
jong	jongeren	0	0	0	305,42	0	0	260,35	0	0	0	0	0	565,77
kernen	kernen	5.578,87	0	23.600,07	0	0	0	0	0	85.333,35	0	0	0	114.512,29
LOdr	laag opleidingsniveau met drempel	0	0	263,59	0	0	0	0	0	0	0	0	0	263,59
ll_so	leerlingen (voortgezet) speciaal onderwijs	0	0	0	0	0	0	528,66	0	0	0	0	0	528,66
ll_vo	leerlingen voortgezet onderwijs	0	0	0	0	0	0	384,9	0	0	0	0	0	384,9
loonksub	loonkostensubsidie	0	5.128,00	0	0	0	0	0	0	0	0	0	0	5.128,00
nwmigr	migratieachtergrond	151,65	0	0	0	0	150,18	84,41	0	0	0	0	0	386,24
cf.landelijk	landelijke centrumfunctie	0	0	0	0	0	0	0	45,41	0	0	0	0	45,41
cf.lokaal	lokale centrumfunctie	0	0	0	0	0	5,39	0	5,47	0	0	0	0	10,86
cf.regionaal	regionale centrumfunctie	29,08	0	49,84	45,6	0	0	0	30,6	0	0	0	0	155,12
oeverdhbftot	(oeverlengte+2*veen/kleiveengebied)*bf.gemeente*dh.factor	0	0	0	0	0	0	0	0	13,42	0	0	0	13,42
oeverbftot	oeverlengte*bodemfactor gemeente	0	0	0	0	0	0	0	0	31,4	0	0	0	31,4
oadw	omgevingsadressendichtheid	17,55	0	0	-26,2	3,66	18,26	0	0	73,25	0	0	0	86,52
goab	onderwijsachterstand	0	0	0	0	0	0	150,84	0	0	0	0	0	150,84
opbebnk	 oppervlak bebouwing buitengebied	0	0	0	0	0	0	0	0	7.925,10	0	0	0	7.925,10
opbebnkbfnk	oppervlak bebouwing buitengebied ∗ bodemfactor buitengebied	0	0	0	0	0	0	0	0	2.935,95	0	0	0	2.935,95
opbebk	oppervlak bebouwing woonkern	0	0	0	0	0	0	0	0	6.818,51	0	0	0	6.818,51
opbebkbfk	oppervlak bebouwing woonkern ∗ bodemfactor woonkern	0	0	0	0	0	0	0	0	10.743,51	0	0	0	10.743,51
biwa	oppervlak binnenwater	0	0	0	0	0	0	0	0	126,1	0	0	0	126,1
buiwamax	oppervlak buitenwater	0	0	0	0	0	0	0	0	39,89	0	0	0	39,89
histk40	oppervlak historische kern < 40 ha	0	0	0	0	0	0	0	18.619,46	15.125,98	0	0	0	33.745,44
histk65	oppervlak historische kern > 65 ha	0	0	0	0	0	0	0	18.619,46	15.125,98	0	0	0	33.745,44
